Action,Expected Result
Headline: Payless ,
Go to Navigation bar enter ->https://internet.frontier.com/,Frontier Communications Landing page (https://internet.frontier.com/)displays no errors
Verify Header Spelling>  Select  Pay less & get more with Frontier bundles,"Text should display ""Pay less & get more with Frontier bundles"""
Verify Header Font size/style >Select  Pay less & get more with Frontier bundles,Display Font size: 3 rem;Ariel;text-align: Center
Verify Header Color-> Select Pay less & get more with Frontier bundles,Display Color: #58595b; Bold
"Verify Header Spelling>  Select  The beauty of bundling: More services, more savings. All from one dependable provider: Frontier.","Text should display ""The beauty of bundling: More services, more savings. All from one dependable provider: Frontier."""
"Verify Header Font size >The beauty of bundling: More services, more savings. All from one dependable provider: Frontier.",Display Font size:14 px;Ariel: Align: Center
"Verify Header Color-> The beauty of bundling: More services, more savings. All from one dependable provider: Frontier.",Display Color: #5a5a5a; Gray-dark
Verify Header Spelling>  Select Enter your Zip to Find Deals in your area.,"Text should display ""Select Enter Your Zip to Find Deals in your area."""
,
Product Section: High-Speed Internet,
Verify Header Spelling>  Select  High-Speed Internet,"Text should display ""High-Speed Internet"""
Verify Icon(Wi-Fi)-> Select Internet Wi-Fi image,Icon graphic display  Wi-Fi
Verify Spelling> Get the Wi-Fi speed you need at a price you'll love.,"Text should display "" Get the Wi-Fi speed you need at a price you'll love."""
Verify Font size/style > Select Get the Wi-Fi speed you need at a price you'll love.,Display Font size: 14px;Ariel;checkmark icon
Verify Color-> Select  Get the Wi-Fi speed you need at a price you'll love.,"Display Color: rgb(90, 90, 90)"
,
Product Section: Voice Service (Phone),
Verify Header Spelling>  Select Voice Service,"Text should display ""Phone"""
Verify Icon(Phone)-> Select Internet Phone image,Icon graphic display Phone
Verify Spelling>  Select Enjoy reliable home phone service plus local and long-distance calling options.,"Text should display "" Enjoy reliable home phone service plus local and long-distance calling options"""
Verify (checked section) Font size/style > Enjoy reliable home phone service plus local and long-distance calling options.,Display Font size: 14px;Ariel;checkmark icon
Verify (checked section) Color-> Select Enjoy reliable home phone service plus local and long-distance calling options.,"Display Color: rgb(90, 90, 90)"
,
Product Section: TV,
Verify Header Spelling>  Select TV,"Text should display ""TV"""
Verify Icon(TV)-> Select Internet TV image,Icon graphic display TV
Verify (checked section) Spelling>  See what TV packages are available where you live.,"Text should display "" See what TV packages are available where you live."""
Verify (checked section) Font size/style > See what TV packages are available where you live.,Display Font size: 14px;Ariel;checkmark icon
Verify (checked section) Color-> Select  See what TV packages are available where you live.,"Display Color: rgb(90, 90, 90)"
,
Product Section: Shop Plans,
Verify Header Spelling(Button)>  Select Shop Plans,"Text should display ""Shop Plans"""
Verify Hover -> Hover over Shop Plans,Cursor should display as pointer until hovering over Shop Bundles display a hand CSS
Verify navigation to Availability link->  Click on Shop Plans,Follow webpage should display with no errors->https://internet.frontier.com/bundles/
Navigate back to Landing page from Availability-> Click on Frontier logo,Frontier Communications Landing page (https://internet.frontier.com/)displays no errors
